test_id,case,config_sha256,quantity,expected,measured,error,tolerance,status,verification_kind,run_dir,note
G01,examples/analytic_single_pulse.json,bbea1c49aee3ffeb946b1fa726b303b851dedf8fd004bfa73c8650f092fdd289,峰值能流 (J/m^2),73890.5609893065,73890.5609893065,0.0,解析恒等,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,由 2E/(pi w0^2) 解析给出
G01,examples/analytic_single_pulse.json,bbea1c49aee3ffeb946b1fa726b303b851dedf8fd004bfa73c8650f092fdd289,单脉冲能量 (J),1.1606702178681694e-05,1.1606702178681694e-05,0.0,解析恒等,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,11.6067021786817 uJ
G01,examples/analytic_single_pulse.json,bbea1c49aee3ffeb946b1fa726b303b851dedf8fd004bfa73c8650f092fdd289,中心去除深度 (m),2e-07,1.9999999999999996e-07,1.3234889800848443e-16,rel <= 1e-12,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,200 nm
G01,examples/analytic_single_pulse.json,bbea1c49aee3ffeb946b1fa726b303b851dedf8fd004bfa73c8650f092fdd289,去除体积 (m^3),3.1415926535897935e-17,3.1411e-17,0.00015681650809518674,rel <= 1%,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,31.4159265358979 um^3；网格 dx=dy=w/20
G01,examples/analytic_single_pulse.json,bbea1c49aee3ffeb946b1fa726b303b851dedf8fd004bfa73c8650f092fdd289,去除半径 (m),1e-05,1e-05,0.0,解析恒等,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,r_a = w*sqrt(ln(F0/Fth)/2) = w = 10 um
G01,网格 dx=dy=w/20,analytic_single_pulse,去除体积相对误差,<= 1%,1.568e-04,0.00015681650809518674,rel <= 1%,通过,数值收敛记录,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,dx = 5.000e-07 m
G01,网格 dx=dy=w/40,analytic_single_pulse,去除体积相对误差,<= 1%,1.557e-05,1.5566496101057905e-05,rel <= 1%,通过,数值收敛记录,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,dx = 2.500e-07 m
G01,网格 dx=dy=w/80,analytic_single_pulse,去除体积相对误差,<= 1%,6.365e-06,6.365350953644903e-06,rel <= 1%,通过,数值收敛记录,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,dx = 1.250e-07 m
G02,examples/ten_pulses.json,c4092f673f381394113538904635c4a4ba4859ece8d0532b64ccc72b9eccf83e,事件数,10,10,0,== 10,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g02_ten_pulses,
G02,examples/ten_pulses.json,c4092f673f381394113538904635c4a4ba4859ece8d0532b64ccc72b9eccf83e,中心深度 (m),2e-06,1.9999999999999995e-06,2.1175823681357508e-16,rel <= 1e-12,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g02_ten_pulses,2 um
