record_id,material,grade,parameter,old_field_path,new_field_path,value_literature,value_SI,unit_from,unit_to,conversion,source_id,status,reason
P01,氧化锆,APS 8 wt% YSZ,Fth1,参数证据[P01],zirconia_ysz_static_aps8ysz.response.threshold_J_m2,1.483,14830.000000000002,J/cm²,J/m²,×10000,S01,kept,单脉冲静态阈值保留原定义
P02,氧化锆,APS 8 wt% YSZ,S(f)截距,参数证据[P02],zirconia_ysz_static_aps8ysz.response.incubation.S_intercept,0.969,0.969,1,1,无,S01,kept,S(f) 截距，频率单位 kHz
P03,氧化锆,APS 8 wt% YSZ,S(f)斜率,参数证据[P03],zirconia_ysz_static_aps8ysz.response.incubation.S_slope_per_kHz,-0.0029,-2.8999999999999998e-06,1/kHz,1/Hz,×0.001,S01,converted,1/kHz → 保留 kHz 定义并显式标注，避免无界外推
P04,氧化锆,YSZ论文相应加工卡,Fth_effective,参数证据[P04],zirconia_ysz_machining_effective_n3.response.threshold_J_m2,1.289,12890,J/cm²,J/m²,×10000,S01,kept,有效加工阈值，与静态分支分离
P05,氧化锆,YSZ论文相应加工卡,delta_effective,参数证据[P05],zirconia_ysz_machining_effective_n3.response.delta_m,0.39,3.8999999999999997e-07,μm,m,×1e-06,S01,kept,0.39 μm；与 Fth_eff 配套
P06,氧化锆,YSZ论文相应加工卡,spot_diameter,参数证据[P06],zirconia_ysz_machining_effective_n3.reference_protocol.required_laser.spot_radius_m,32,3.2e-05,μm,m,×1e-06,S01,converted,光斑直径 32 μm → 1/e² 半径 16 μm（明确高斯束约定）
P07,氧化锆,YSZ论文相应加工卡,peak_fluence,参数证据[P07],zirconia_ysz_machining_effective_n3.validity_domain.peak_fluence_J_m2,50.1,501000,J/cm²,J/m²,×10000,S01,kept,加工例峰值能流，仅作条件一致性检查
P08,氧化锆,致密3YZ（Precision Ceramics）,rho,参数证据[P08],zirconia_ysz_static_aps8ysz.optional_thermal_backup.rho_kg_m3,6.05,6050,g/cm³,kg/m³,×1000,S14,to_confirm,3YZ 制造商值，非 APS 8YSZ 涂层；只作备用数据
P09,氧化锆,致密3YZ（Precision Ceramics）,k,参数证据[P09],zirconia_ysz_static_aps8ysz.optional_thermal_backup.k_W_mK,2,2,W/(m·K),W/(m·K),无,S14,to_confirm,同上，未做温度或 HAZ 预测
P10,铝基碳化硅,SiCp/AA2024,laser_wavelength,参数证据[P10],alsic_sicp_aa2024_1030nm.validity_domain.laser.wavelength_nm,1030,1.03e-06,nm,m,×1e-09,S07,kept,仅波长条件；响应参数缺失
P11,铝基碳化硅,SiCp/AA2024,Fth / delta / incubation,参数证据[P11],alsic_sicp_aa2024_1030nm.response.threshold_J_m2,,,待补,待补,无,S07,to_confirm,本轮未核得完整数值，保持 null
P12,铝基碳化硅,SiCp/AA2024（另一纳秒论文样品）,SiC_volume_fraction,参数证据[P12],alsic_sicp_aa2024_1030nm.microstructure.synthetic_geometry_example.SiC_volume_fraction,45,0.45,vol%,1,×0.01,S09,converted,45 vol% 仅作另一纳秒研究的结构参考，不用于飞秒标定
P13,铝基碳化硅,SiCp/AA2024（另一纳秒论文样品）,mean_particle_diameter,参数证据[P13],alsic_sicp_aa2024_1030nm.microstructure.synthetic_geometry_example.mean_particle_diameter_m,30,2.9999999999999997e-05,μm,m,×1e-06,S09,converted,30 μm 同上，仅几何参考
P14,铝基碳化硅,ZL101A+65vol%SiC（不同产品）,k_lower_reference,参数证据[P14],alsic_sicp_aa2024_1030nm.optional_thermal_backup.k_W_mK,240,240,W/(m·K),W/(m·K),无,S17,to_confirm,不同产品（ZL101A+65vol%）；不得与 AA2024 混配
