u03,check,expected,measured,status,note
U03-浏览器级,运行环境,真实系统浏览器,chrome 152.0.7977.84｜C:/Program Files/Google/Chrome/Application/chrome.exe,通过,真实求解=True｜结果：C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\_browser_check\probe\result.json
U03-1 启动,首页返回 200（实际 200）,,符合,通过,
U03-1 启动,页面未显示 boot-error 面板,,符合,通过,
U03-1 启动,无未捕获 JS 异常,,符合,通过,
U03-1 启动,无失败请求（favicon 除外）,,符合,通过,
U03-1 启动,无 console error（favicon 404 除外）,,符合,通过,
,6/6 个面板可切换并激活,,符合,通过,
U03-2 选真实数据,可选中真实材料卡并回读一致（zirconia_ysz_machining_effective_n3）,,符合,通过,
U03-2 选真实数据,材料卡元信息随选择更新（#material-meta 非空）,,符合,通过,
U03-2 选真实数据,真实算例模板可载入并写入参数（alsic_particle_composite.json，E=11.606702）,,符合,通过,
U03-2 选真实数据,载入模板后材料卡随之回填（期望 alsic_sicp_aa2024_1030nm，实际 alsic_sicp_aa2024_1030nm）,,符合,通过,
U03-2 选真实数据,载入模板后运行模式随之回填（期望 synthetic_demo，实际 synthetic_demo）,,符合,通过,
U03-3 提交,提交后求解次数 +1（0 → 1，等待 3s）,,符合,通过,
U03-3 提交,确实发生了 POST /api/solve,,符合,通过,
U03-3 提交,形貌 canvas 已真实绘制（800×800）,,符合,通过,
U03-4 错误提示,越界入射角后显示结构化错误（含错误码/原因/要求）,,符合,通过,
U03-4 错误提示,错误提示在超时前出现（未无限等待）,,符合,通过,
U03-4 错误提示,准入失败不计入求解次数（1 → 1）,,符合,通过,
U03-5 曲线单位,"3 条曲线的轴名/单位都非空且非 ""[object Object]""",,符合,通过,
U03-6 换参数后旧结果标记,改参数后出现过期标记并说明「显示的是上一次运行」,,符合,通过,
U03-6 换参数后旧结果标记,改参数本身不触发求解（1 → 1）,,符合,通过,
U03-7 读历史,读历史后求解次数不变（1 → 1）,,符合,通过,
U03-7 读历史,读历史后读取次数 +1（0 → 1）,,符合,通过,
U03-7 读历史,读历史未触发 POST /api/solve,,符合,通过,
U03-8 回放不重算,拖动时间轴/切截面/换图层/转置共 4 次，求解次数不变（1 → 1）,,符合,通过,
U03-8 回放不重算,快照元信息完整（事件/时刻/遍次均非 undefined）,,符合,通过,
U03-8 回放不重算,回放画布已按快照尺寸绘制（805×805）,,符合,通过,
U03-9 下载,U03-9 下载,,功能未实现,未实现,前端未实现下载/导出（index.html 无下载控件、main.js 无 Blob/createObjectURL）
,查表后求解次数不变（1 → 1）,,符合,通过,
,查表未触发 POST /api/solve,,符合,通过,
,面板显示「数据支持范围」,,符合,通过,
,面板同时给出分组五折误差（不只报留出）,,符合,通过,
,面板明确标注「辅助手段，不替代物理引擎验证」,,符合,通过,
,给出宽/深预测结果,,符合,通过,
,预测后求解次数不变（1 → 1）,,符合,通过,
,预测未触发 POST /api/solve（独立通道）,,符合,通过,
,案例表列出文献算例（D02-*）,,符合,通过,
,等效脉冲数带「非真实事件序列」标注（不得写成脉冲数）,,符合,通过,
,案例表未把等效值表述为真实脉冲数,,符合,通过,
,页面声明无实测三维形貌 / 重建须标注,,符合,通过,
,回放后求解次数不变（1 → 1）,,符合,通过,
,回放未触发 POST /api/solve,,符合,通过,
,所有被点击的控件都真实响应（无「点不到」）,,符合,通过,
