check,expected,measured,status,note
初始渲染无异常,无异常,无异常,通过,五标签页：参数与运行 / 结果 / 参考评估器 / 查表 / 历史运行
初始 solve_count,0,0,通过,未提交前不得求解
初始无冻结结果,frozen=None,frozen=None,通过,
提交计算：solve_count 恰好 +1,1,1,通过,run_id=ui_run_20260911T005110_3r11｜status=completed
改参数未提交：旧结果标为「上一次运行」且不求解,is_stale=True｜solve_count=1｜界面出现「上一次运行」,is_stale=True｜solve_count=1｜label=上一次运行（2026-09-11T00:51:10.011001+00:00）,通过,执行细则 11.3
改参数后 solve_count 不变,1,1,通过,
快照回放 / 切图层 / 旋转视图 / 切截面：solve_count 不变,1（不变）,1,通过,执行细则 11.3「只旋转视图、切换图层/截面/快照时读取已有数据」
读取历史运行：read_count +1 且 solve_count 不变,read_count=1｜solve_count=0,read_count=1｜solve_count=0｜run_id=ui_run_20260911T005110_3r11,通过,读取不等于用当前参数求解
参考评估器「评估」：不进入逐事件求解、不产生形貌,solve_count=0｜产出参考结果｜frozen=None,solve_count=0｜有参考结果=True｜frozen=None,通过,参考评估器只做公式核查（批次 D 语义）
查表「查值」：不触发求解、不读取历史,solve_count=0｜产出查表结果｜read_count=0,solve_count=0｜read_count=0｜有查表结果=True,通过,批次 F：查表是纯读取，不是求解
切换曲线卡 / 插值方法：solve_count 始终为 0,0（不变）,曲线数=3｜异常组合=无,通过,批次 F：换曲线/换算法不得触发求解
图层标签不含被禁措辞（严格子串：热影响区/HAZ/温度…）,全部通过,全部通过,通过,执行细则 11.3 措辞守卫
缺能力模式显示准确不可用原因（不自动降级、不静默填值）,拒绝并给出原因,"允许=False｜原因=材料卡未开放 reference_case 模式；允许：['threshold_only', 'synthetic_demo']",通过,配置层拦截，而非仅按钮禁用
合成模式禁止导出物理深度,以 depth_um 命名时拒绝；depth 标签非 um,导出标签=depth/L_ref｜拒绝 depth_um=True,通过,执行细则 4.1：合成深度与微米平面坐标不可混算
threshold_only/参考结果：去除量显示「不提供」而非 0,removal_available=False,removal_available=False｜run_id=g05_ysz_reference,通过,界面不显示数值零冒充「无去除」
探针运行输出位置,隔离到 C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,已写入 65 个运行目录,通过,UFDEMO_RUNS_DIR 覆盖，不污染工作区 runs/
提交运行目录,存在 metadata.json,存在,通过,
